기사 작성일	기사 제목	기사 url	기사 내용	언론사
20 OTTOBRE 2021	Netflix vola, è l'effetto 'Squid game'	https://www.repubblica.it/serietv/netflix/2021/10/20/news/netflix_vola_effetto_squid_game_-323061708/?ref=search	Netflix vola trainata dal successo dei contenuti in lingua non inglese, a partire dal trionfo della serie coreana distopica Squid game, vista da 142 milioni di utenti nelle prime quattro settimane dall'uscita. Gli abbonamenti nel terzo trimestre del 2021 sono cresciuti di 4,4 milioni di unità, più del doppio rispetto al trimestre precedente.  Mente la piattaforma di streaming affronta in questi giorni la protesta da parte di alcuni dipendenti, per i contenuti dello spettacolo The Closer del comico Dave Chappelle, accusato di aver deriso le persone trans, i dati di mercato la premiano oltre le aspettative più rosee, che invertono la tendenza del lento avvio del 2021, quando si pensava ad una forte flessione della domanda eccezionale di streaming registrata durante la pandemia.  Oltre a Squid Game, che ha soffiato il record di titolo più visto di sempre sulla piattaforma alla serie in costume Bridgerton, al successo hanno contribuito anche serie come Sex Education, La regina degli scacchi e La casa di carta (la quinta serie è stata vista da 69 milioni di spettatori nelle prime quattro settimane dalla messa in onda).  "Stiamo producendo serie e film 'locali' in circa 45 Paesi e abbiamo instaurato profonde relazioni con le comunità creative di tutto il mondo", ha spiegato in una lettera agli azionisti Netflix, che prevede di andare ancora meglio nel periodo prenatalizio, grazie anche alla nuove stagioni di serie di successo come Tiger King e Cobra Kai. Inoltre, l'acquisizione in via di definizione della Roald Dahl Story Company, la società che detiene i diritti delle opere del grande autore di storie per bambini, porterà sulla piattaforma titoli come La fabbrica di cioccolato e Matilda.	la repubblica
07 OTTOBRE 2021	L’attrice di Squid Game HoYeon Jung è la nuova testimonial Louis Vuitton	https://www.repubblica.it/moda-e-beauty/2021/10/07/news/squid_game_hoyeon_jung_testimonial_louis_vuitton_modella_attrice_sudcoreana-342215247/?ref=search	 L’attrice e modella sudcoreana HoYeon Jung è la nuova global ambassador Louis Vuitton. Se il suo volto vi è familiare ma non riuscite a collocarlo, è perché al posto dell’elegante mantella bianca con cui posa per la maison dovete immaginarla con una tuta verde macchiata di sangue, i capelli a caschetto arruffati, lo sguardo più accigliato che mai. HoYeon Jung è infatti l’attrice di Squid Game, l’acclamatissima serie Netflix (scritta e diretta da Hwang Dong-hyuk), nella quale interpreta la protagonista femminile, la giocatrice numero 067.  La nuova testimonial Louis Vuitton è stata annunciata via social con commento di Nicolas Ghesquière: “Mi sono innamorato istantaneamente del talento e della fantastica personalità di HoYeon, e non vedo l’ora di iniziare questo nuovo capitolo del viaggio che abbiamo intrapreso”. HoYeon Jung non è nuova al mondo della moda: 27enne, vincitrice del premio ‘Asian Star Award’ agli Asian Model Awards del 2019, ha già una carriera attiva sulle passerelle internazionali, avendo sfilato e posato per Chanel, Tory Burch, Giambattista Valli, Miu Miu, Fendi, Schiaparelli, la stessa Louis Vuitton, e molti altri brand internazionali.  Anche se può suonare bizzarro, c’è un altro punto di contatto tra la serie televisiva di cui HoYeon Jung è protagonista e il mondo della moda: gli indizi puntano tutti verso un Halloween a tema Squid Game. Come era stato per La Casa di Carta, secondo la piattaforma globale di shopping Lyst le ricerche di tute retro sono aumentate del 97% nei giorni successivi alla messa in onda della serie. Impennata di ricerche anche per le calzature slip-on bianche (Vans il marchio più gettonato), che registrano un incremento del 145%, e per le t-shirt bianche numerate, che segnano un +35%. In generale, aumentano le ricerche di capi verde acqua (+130%) e di tute da lavoro rosse/rosa (+62%).	la repubblica
09 NOVEMBRE 2021	Squid game’, i fan possono gioire: è stata confermata la seconda stagione della serie	https://www.repubblica.it/serietv/netflix/2021/11/09/news/squid_game_i_fan_possono_gioire_e_stata_confermata_la_seconda_stagione_della_serie_coreana-325735046/?ref=search	È indubbiamente la serie dei record di quest'anno per la piattaforma Netflix e, come prevedibile, una seconda stagione è stata messa in cantiere in tutta fretta, forse anche con grande sorpresa del suo creatore, Hwang Dong-hyuk.  Il creatore, sceneggiatore e regista coreano, in un'intervista 'catturata' la sera scorsa sul red carpet di un evento a Los Angeles dedicato alla serie televisive, si è lasciato andare davanti alle telecamere. Visibilmente contento, ma forse anche stressato, ha detto - testuali parole - "che c’è stata molta pressione, così tanta richiesta e così tanto amore per una seconda stagione di Squid game che mi sono quasi sentito come se non avessi altra scelta!".  Poi, l'annuncio definitivo: "Ci sarà assolutamente una seconda stagione. È già tutta nella mia testa", ha spiegato lo showrunner puntandosi l'indice alla tempia, "e attualmente mi trovo nella fase del processo creativo. Ma mi sento anche di affermare che è ancora troppo presto per dire quando si concretizzera e come. Per cui, vi faccio una promessa: Gi-hun tornerà e farà qualcosa per il mondo".  E mentre a Seul, 'patria' della serie, i fan fanno chilometriche file per assaggiare i biscotti dalgona protagonisti delle folli giornate al campo, fatti di zucchero e bicarbonato, mentre a Parigi ha aperto uno Squid game center e all'appena trascorso Lucca Comics & Games si sono viste orde di cosplayer vestite come i personaggi della serie, su Netflix il programma ha battuto ogni record: è la più vista della piattaforma con 111 milioni di spettatori nel mondo.	la repubblica
24 ottobre 2021	Se i bambini delle elementari giocano a Squid Game	https://ricerca.repubblica.it/repubblica/archivio/repubblica/2021/10/24/se-i-bambini-delle-elementari-giocano-a-squid-game27.html?ref=search	Pare che i bambini a ricreazione, in diverse scuole, giochino a Squid Game . Non uccidendosi, fortunatamente per ora, ma picchiandosi e insultando a sangue chi perde. Non ho più figli alle elementari dunque sono informazioni di seconda mano, leggo sui giornali: le prendo per buone con beneficio d'inventario. Dal Messaggero riferisco la lettera di suor Alberta — istituto Santa Dorotea, scuola elementare di via Matera, Roma — che scrive alle famiglie: "Questa mattina i bambini di quarta stavano giocando", "mi sono informata, mi hanno parlato di una serie tv, i ragazzini hanno detto che stavano facendo il gioco del calamaro".  I dati più recenti dicono che circa 132 milioni di persone hanno visto la serie coreana, mi rivolgo dunque alla frazione italiana di questa moltitudine. Ho solo domande, nessuna risposta. Posto che l'arte del racconto non si limita a imitare la realtà ma la costruisce, spesso la anticipa. Posto che le serie tv sono il principale architetto del presente. Posto che Squid Game è considerato "un capolavoro", non sento voci critiche se non quelle montessoriane che dicono ui ui ui quanta violenza.  Mi domando e vi chiedo. Come possiamo noi evitare che i decenni avidi di modelli di comportamento credano che chi, disperato, non performa un due tre stella per il divertimento di un riccastro anonimo debba essere eliminato con un colpo di pistola? È una domanda seria.  "Non farglielo vedere" è una risposta ridicola.  A dieci anni i bambini trovano quello che vogliono, anche se a casa la tv è spenta. Quindi davvero chiedo. Che si fa? Niente? Ci si rassegna? Si spera che le pistole siano sempre ad acqua o a salve, anche se a volte — avete visto — sono cariche persino sui set?  ©RIPRODUZIONE RISERVATA	la repubblica
02 ottobre 2021	"Squid Game" un gioco mortale per anime perse	https://ricerca.repubblica.it/repubblica/archivio/repubblica/2021/10/02/squid-game-un-gioco-mortale-per-anime-perse46.html?ref=search	Primo segno del successo di una serie planetaria, il fiorire di improbabili facezie. Per esempio, in Corea esisterebbe un tizio che ha il numero di telefono mostrato nel gioco e sta ricevendo sulle 4mila chiamate al giorno: e Netflix dovrà risarcirlo (in caso, qui si mettono diversi numeri di telefono a disposizione di registi futuri).  Secondo segnale, l'irruzione di una serie tv senza annunciarla: e dopo poco tempo si scopre che nessuno ne può fare a meno (era successo per esempio con La regina degli scacchi ). Ora si ripete con questo Squid Game e Netflix avrà pure qualche merito: per potenza di fuoco, può pescare a strascico tra le produzioni del mondo e alla fine sbuca l'ostrica con la perla. E poi c'è la Corea, che sarà anche di moda (qui siamo vagamente in zona  Parasite ) ma ha anche gente di prim'ordine in queste cose. Squid Game mescola Casa di carta e  Hunger Games , più un'altra decina di cose del passato, più Tarantino —  Kill Bill . A Seul vagano migliaia di anime perdute, gente che non ce la fa, travolta dai debiti, senza una prospettiva. Una misteriosa organizzazione fa recapitare loro dei biglietti da visita, con appunto un numero di telefono. La promessa è: soldi. Però bisogna affidarsi del tutto a loro, farsi trasportare in un luogo sconosciuto e, una volta sul posto, scoprire che si è dentro un gioco mortale, anche se per bambini (un, due, tre, stella). In palio, appunto, soldi a palate: ma chi non ce la fa, viene giustiziato sul posto. Si scatena di tutto, soprattutto intorno al protagonista, padre sbandato e ludopatico.  Dentro Squid Game c'è tutto, compresa ovviamente l'allegoria della società tranciata dalla sfida impossibile poveri-ricchissimi. Ma merita anche per la scrittura minuta, il gioco delle emozioni forti tra i protagonisti. Avvertenza: c'è splatter, non in dosi massicce ma sbuca all'improvviso e fa saltare sulla sedia gli animi sensibili.  *** Somiglia tanto a una leggenda metropolitana, ma è tornato in auge il diktat di Apple: nei film e nelle serie tv i personaggi cattivi non possono avere un iPhone. Per cui in un crime con due sospettati, se uno ha un iPhone l'assassino è sicuramente l'altro.  ©RIPRODUZIONE RISERVATA  j La serie coreana Su Netflix la serie Squid Game , nove episodi scritti e diretti da Hwang Dong-hyuk	la repubblica
02 OTTOBRE 2021	Squid Game' un gioco mortale per anime perse	https://www.repubblica.it/serietv/netflix/2021/10/07/news/squid_game_un_gioco_mortale_per_anime_perse-321200739/?ref=search	Primo segno del successo di una serie planetaria, il fiorire di improbabili facezie. Per esempio, in Corea esisterebbe un tizio che ha il numero di telefono mostrato nel gioco e sta ricevendo sulle 4mila chiamate al giorno: e Netflix dovrà risarcirlo (in caso, qui si mettono diversi numeri di telefono a disposizione di registi futuri).  Secondo segnale, l'irruzione di una serie tv senza annunciarla: e dopo poco tempo si scopre che nessuno ne può fare a meno (era successo per esempio con La regina degli scacchi). Ora si ripete con questo Squid Game e Netflix avrà pure qualche merito: per potenza di fuoco, può pescare a strascico tra le produzioni del mondo e alla fine sbuca l'ostrica con la perla. E poi c'è la Corea, che sarà anche di moda (qui siamo vagamente in zona Parasite) ma ha anche gente di prim'ordine in queste cose.  Squid Game mescola Casa di carta e Hunger Games, più un'altra decina di cose del passato, più Tarantino - Kill Bill. A Seul vagano migliaia di anime perdute, gente che non ce la fa, travolta dai debiti, senza una prospettiva. Una misteriosa organizzazione fa recapitare loro dei biglietti da visita, con appunto un numero di telefono. La promessa è: soldi. Però bisogna affidarsi del tutto a loro, farsi trasportare in un luogo sconosciuto e, una volta sul posto, scoprire che si è dentro un gioco mortale, anche se per bambini (un, due, tre, stella). In palio, appunto, soldi a palate: ma chi non ce la fa, viene giustiziato sul posto. Si scatena di tutto, soprattutto intorno al protagonista, padre sbandato e ludopatico. Dentro Squid Game c'è tutto, compresa ovviamente l'allegoria della società tranciata dalla sfida impossibile poveri-ricchissimi. Ma merita anche per la scrittura minuta, il gioco delle emozioni forti tra i protagonisti. Avvertenza: c'è splatter, non in dosi massicce ma sbuca all'improvviso e fa saltare sulla sedia gli animi sensibili.	la repubblica
6 OTTOBRE 2021	Da Squid Game alle Blackpink: le star coreane alla conquista del pianeta fashion	https://www.repubblica.it/moda-e-beauty/2021/10/16/news/nuove_icone_le_star_coreane_alla_conquista_del_pianeta_fashion_-342215134/?ref=search	 Sono bastati meno di 20 giorni a HoYeon Jung per passare su Instagram da 400 mila follower a oltre 20 milioni. Se a molti il nome della modella e attrice coreana dice poco, le cose cambiano se si nomina la serie Netflix di cui è protagonista: Squid Game, il serial su una crudele gara a eliminazione (letterale) diventato in 29 giorni di programmazione il più visto di sempre. Si spiegano così sia i milioni di fan guadagnati in pochi giorni, sia la rapidità con cui i marchi di moda sono piombati su di lei, che con i suoi trascorsi da top model è perfetta per il settore. A spuntarla è stato Louis Vuitton, che ha già sotto contratto per l’uomo i BTS, band K-pop ormai leggendaria. Il 6 ottobre il brand ha annunciato la sua nomina ad “ambasciatrice” del marchio; a rendere l’episodio importante è il momento in cui accade, con la Corea mai così rilevante. Cinema, televisione, musica, beauty: l’influenza del Paese asiatico è ovunque. Che le nuove icone globali arrivino da lì è una conseguenza ovvia, a questo punto.  Le nuove icone di cui si parla sono quattro, per la precisione: le Blackpink, il gruppo femminile di K-pop più famoso. Jennie, Rosé, Lisa e Jisoo (nella foto in alto) oggi dominano sia le classifiche musicali che l’immaginario dei brand di lusso, con il pubblico adorante pronto ad acquistare tutto ciò che indossano; tanto per dire, l’anno scorso in Cina il pullover di Celine indossato da Lisa in un post su TikTok è andato esaurito in meno di un giorno, un fenomeno che si ripete puntualmente con tutte loro. Se ne è avuta ulteriore prova alle ultime sfilate di Parigi, che le hanno viste protagoniste. Le quattro sono infatti il volto di altrettante maison francesi, che se le sono spartite tipo Risiko: in quota LVMH ci sono Lisa con Celine e Jisoo con Dior, da Kering c’è Rosé con Saint Laurent, mentre Jennie rappresenta Chanel. Un sodalizio tra moda e musica raro — le ragazze hanno diversi contratti anche per gioielli e make-up — che si spiega con la natura stessa della band: prima di tutto sono solo in quattro, quando di solito i gruppi K-pop contano il doppio dei membri. Questo le ha rese molto più incisive e riconoscibili: i loro account Instagram combinati contano 214 milioni di follower (sono le K-popstar più seguite sui social), e uno styling ben accorto a tendenze e marchi le ha rese un veicolo stilistico ideale.  Da qui il trionfo parigino. L’andazzo delle sfilate lo si è capito già al primo show, vale a dire Dior, con i giardini delle Tuileries invasi da migliaia di curiosi arrivati per vedere Jisoo, sbarcata in Francia per l’occasione. Stesse scene in serata sotto la Torre Eiffel con l’arrivo di Rosé da Saint Laurent; idem l’ultimo giorno da Chanel, con Jennie che ha monopolizzato security, media e fan in attesa per ore sotto la pioggia. Nessun dubbio sul fatto che ogni volta la folla aspettasse loro: le urla erano inequivocabili. Mancava Lisa, visto che Celine non ha sfilato, ma i post della ragazza sul brand continuano a generare una media di 7 milioni di like: la situazione pare solida.  Sull’efficacia di certe partnership non si discute. Secondo la società di marketing digitale Launchmetrics, con un post con quattro sue foto in miniabito Dior prima del defilé, Jisoo ha generato un impatto sui media pari a due milioni di dollari. L’artista è stata pure la celebrity più citata di Parigi, con 2536 menzioni e un impatto sui media da oltre 15 milioni di dollari. Il tutto con soli due post personali. Due di numero. Messa così, viene da chiedersi cosa aspettino tutti gli altri brand ad accaparrarsi una star coreana. 	la repubblica
16 ottobre 2021	Le star coreane alla conquista del pianeta (fashion)	https://ricerca.repubblica.it/repubblica/archivio/repubblica/2021/10/16/le-star-coreane-alla-conquista-del-pianeta-fashion27.html?ref=search	Sono bastati meno di 20 giorni a HoYeon Jung per passare su Instagram da 400 mila follower a oltre 20 milioni. Se a molti il nome della modella e attrice coreana dice poco, le cose cambiano se si nomina la serie Netflix di cui è protagonista: Squid Game , il serial su una crudele gara a eliminazione (letterale) diventato in 29 giorni di programmazione il più visto di sempre.  Si spiegano così sia i milioni di fan guadagnati in pochi giorni, sia la rapidità con cui i marchi di moda sono piombati su di lei, che con i suoi trascorsi da top model è perfetta per il settore. A spuntarla è stato Louis Vuitton, che ha già sotto contratto per l'uomo i BTS, band K-pop ormai leggendaria. Il 6 ottobre il brand ha annunciato la sua nomina ad "ambasciatrice" del marchio; a rendere l'episodio importante è il momento in cui accade, con la Corea mai così rilevante. Cinema, televisione, musica, beauty: l'influenza del Paese asiatico è ovunque. Che le nuove icone globali arrivino da lì è una conseguenza ovvia, a questo punto.  Le nuove icone di cui si parla sono quattro, per la precisione: le Blackpink, il gruppo femminile di K-pop più famoso. Jennie, Rosé, Lisa e Jisoo oggi dominano sia le classifiche musicali che l'immaginario dei brand di lusso, con il pubblico adorante pronto ad acquistare tutto ciò che indossano; tanto per dire, l'anno scorso in Cina il pullover di Celine indossato da Lisa in un post su TikTok è andato esaurito in meno di un giorno, un fenomeno che si ripete puntualmente con tutte loro.  Se ne è avuta ulteriore prova alle ultime sfilate di Parigi, che le hanno viste protagoniste. Le quattro sono infatti il volto di altrettante maison francesi, che se le sono spartite tipo Risiko: in quota LVMH ci sono Lisa con Celine e Jisoo con Dior, da Kering c'è Rosé con Saint Laurent, mentre Jennie rappresenta Chanel. Un sodalizio tra moda e musica raro — le ragazze hanno diversi contratti anche per gioielli e make-up — che si spiega con la natura stessa della band: prima di tutto sono solo in quattro, quando di solito i gruppi K-pop contano il doppio dei membri. Questo le ha rese molto più incisive e riconoscibili: i loro account Instagram combinati contano 214 milioni di follower (sono le K-popstar più seguite sui social), e uno styling ben accorto a tendenze e marchi le ha rese un veicolo stilistico ideale.  Da qui il trionfo parigino. L'andazzo delle sfilate lo si è capito già al primo show, vale a dire Dior, con i giardini delle Tuileries invasi da migliaia di curiosi arrivati per vedere Jisoo, sbarcata in Francia per l'occasione. Stesse scene in serata sotto la Torre Eiffel con l'arrivo di Rosé da Saint Laurent; idem l'ultimo giorno da Chanel, con Jennie che ha monopolizzato security, media e fan in attesa per ore sotto la pioggia. Nessun dubbio sul fatto che ogni volta la folla aspettasse loro: le urla erano inequivocabili. Mancava Lisa, visto che Celine non ha sfilato, ma i post della ragazza sul brand continuano a generare una media di 7 milioni di like: la situazione pare solida.  Sull'efficacia di certe partnership non si discute. Secondo la società di marketing digitale Launchmetrics, con un post con quattro sue foto in miniabito Dior prima del defilé, Jisoo ha generato un impatto sui media pari a due milioni di dollari. L'artista è stata pure la celebrity più citata di Parigi, con 2536 menzioni e un impatto sui media da oltre 15 milioni di dollari. Il tutto con soli due post personali. Due di numero. Messa così, viene da chiedersi cosa aspettino tutti gli altri brand ad accaparrarsi una star coreana.  ©RIPRODUZIONE RISERVATA	la repubblica
18 NOVEMBRE 2021	Zerocalcare e il senso della vita	https://www.repubblica.it/cultura/2021/11/18/news/zerocalcare_e_il_senso_della_vita-326904740/?ref=search	 "Ciao, benvenuto a Roma. Se sei un umano preparati a tribolà: il traffico, le corse, quattordici lavori per pagà l'affitto di una stanza in casa con ventisei fuorisede, alla fine della giornata ti chiedi: "Ma davero mi madre m'ha messo al mondo pe' campà così? Non se poteva informà prima?": se leggi queste parole su un gigantesco tabellone luminoso sei alla stazione Termini. Non è l'unico. Ti volti e un manifesto dice: "Oh, può esse che passeggi così a buffo perché c'hai il tempo da buttà, ma statisticamente è più probabile che leggi 'sto siluro mentre stai de corsa, sparato come una pallina da flipper tra casa lavoro scuola, i regazzini e 8.000 accolli che ti tengono in gioco senza vincere mai": l'effetto è notevole.  Senza neanche accorgerti vai avanti a leggere: "Questa è la pubblicità di una serie, e di sicuro non te svolta la giornata, ma manco te può fa' peggio, tanto se non ce stavo io 'sto spazio lo occupava un altro che te provava a vende un paro de mutande o una cassa da morto, mica uno che te regalava i soldi gratis. Reggi botta". L'effetto è straniante: che cosa sta succedendo? Che forse stai perdendo il treno perché la lettura, così atipica e spiazzante, ha totalizzato la tua attenzione. Ma la diabolica campagna di marketing ha pensato anche a questo: proprio sotto al tabellone delle partenze ce n'è un altro che dice: "Non legge, corri. Tu pensi che stai in anticipo, ma da quando hanno messo i varchi per arrivare ai binari rischi sempre che becchi quel faggiano maledetto che intoppa la fila perché non trova il biglietto, e pure se sei arrivato mezz'ora prima fidate che alla fine 'sto treno rischi che lo perdi. Te lo dico perché metà delle volte il faggiano che intoppa la fila so' io. Scusa".  Questo 'faggiano' si chiama Michele Rech, 37 anni, in arte Zerocalcare e la serie, realizzata per Netflix, si intitola Strappare lungo i bordi. Se non avete mai sentito parlare di Zerocalcare e vi siete ritrovati a Termini ma anche in altre stazioni e metropolitane di varie città, tutto questo vi avrà 'stranito' non poco, a partire dalla neolingua italo-romanesca che i suoi lettori di tutte le regioni italiane adorano. Ma qui sta succedendo un fatto nuovo: Zerocalcare sta uscendo dalla sua (ampia, molto ampia viste le centinaia di migliaia di copie vendute) 'comfort zone' dei graphic novel per cui è stato candidato, secondo della storia dopo Gipi, al più importante tra i premi letterari, lo Strega, nel 2015.  Ne sta uscendo perché Strappare lungo i bordi ha debuttato lo scorso mercoledì 17 novembre con un successo oltre le previsioni: "L'idea di fare un tipo di pubblicità diversa, molto più lunga del solito per il lancio è stata di Netflix e sembrava una roba strana pure a me", spiega Zerocalcare, "però i soggetti li ho scelti io. Ma non mi andava di fare pubblicità direttamente alla mia serie e non volevo che il mio personaggio parlasse con le parole di qualcun altro, così i testi li ho scritti tutti io. Poi ho cercato di capire dove sarebbero stati esposti cartelloni e video e quindi di dargli un senso. Alla fine devo dire che sono contento di come è venuto". In realtà il risultato è piuttosto rivoluzionario perché, non solo i testi non fanno riferimento alla serie, ma parlano dei problemi di te che leggi che poi sono gli stessi di chi scrive: un caso che verrà studiato negli anni a venire.  La serie inoltre, non arriva solo in Italia, ma in 190 paesi contemporaneamente, parlata nella neolingua di cui sopra, doppiata in inglese, francese, spagnolo (se conoscete qualcuna di queste lingue divertitevi!) e sottotitolata in inglese, francese, tedesco e greco. Ieri, giovedì 18, in serata era già al secondo posto della nuova Top 10 quotidiana, anch'essa lanciata da pochissimo, superata solo da Red Notice (un action movie con The Rock e Gal Gadot che è stato il miglior debutto di sempre per Netflix) e prima di Narcos (terza) e del fenomeno Squid Game (quinta). Se volete capire bene di cosa parla e di come e perché è stata realizzata, non perdete il prossimo numero di Robinson, che contiene una storia inedita tratta dalla nuova raccolta a fumetti in uscita il 25 intitolata Niente di nuovo sul fronte di Rebibbia (Bao Publishing) e una lunga intervista a Zerocalcare sui temi in essa trattati, dal dibattito sull'inclusività alle ultime notizie sul Kurdistan fino alle nevrosi, alle insicurezze, ai sensi di colpa e alla solitudine dell'autore. La realtà è che ci troviamo (finalmente) di fronte a qualcosa di nuovo: un artista che ha scelto di andare contro tutti i luoghi comuni.  L'incredibile successo di Zerocalcare infatti è una specie di manuale contro quel conformismo che ogni giorno ci spiega come si dovrebbero fare le cose "perché si sono sempre fatte così" e perché ai lettori/spettatori/pubblico bisogna ammannire sempre prodotti al ribasso perché "altrimenti non capiscono". Un paternalismo tutto italiano oggi spezzato dall'arrivo di nuovi soggetti che rendono globali i prodotti, con una serie tv coreana in lingua originale come Squid Game che diventa fenomeno mondiale.  Zerocalcare coglie nel segno perché usa un nuovo linguaggio, potente per molti motivi ma soprattutto perché, prima di tutto, è sincero e poi perché coglie lo spirito dei tempi: parla ai depressi, agli schizzati, a chi soffre, a chi non ce la fa più, a chi è stanco, a chi vorrebbe un po' di giustizia, di pace, di tranquillità. Parla a tutti noi. O almeno alla maggioranza di noi che fa sempre più fatica a riconoscersi in una categoria o in un partito. Ma quello di Zerocalcare non è qualunquismo: è il suo contrario. È sensibilità sociale, senso di responsabilità, voglia di cambiare le cose. In meglio. Una narrazione potente in cui c'è forza perché c'è innocenza, gioia, inconsapevolezza, dolore, rabbia. E c'è pietas. Perché, senza fare spoiler, vi divertirete molto a leggere questa nuova raccolta di storie e a guardare la serie tv, ma verrà un momento in cui vi spunteranno le lacrime. E alla fine continuerete a vivere, ma, forse, con una nuova consapevolezza. Quella che "siamo stracci, brandelli sottili e ciancicati uguali alle vite che se ritrovamo in mano".	la repubblica
22 OTTOBRE 2021	Hanno tutti ragione | L'osceno Squid Game degli ultrà del bipolarismo	https://www.repubblica.it/politica/2021/10/22/news/hanno_tutti_ragione_l_osceno_squid_game_degli_ultra_del_bipolarismo-323382143/?ref=search	Il proporzionale ha goduto per anni in Italia di una fama paragonabile al mostro di Firenze. La causa della frammentazione, il motore dell'instabilità, l'innesco dell'inciucio, il bengodi dei piccoli partiti, il male assoluto. La reputazione del proporzionale rappresenta il più clamoroso caso di distacco dai fatti e dal principio di realtà, perché proprio mentre un fronte largo e variegato - politica, intellettuali, giornalisti, persino gente di spettacolo - accusava questo sistema elettorale di essere fonte dei guai appeni citati, tutti i sistemi elettorali approvati al suo posto li realizzavano concretamente: coalizioni Arlecchino destinate a sfaldarsi in corso di legislatura (nel 2018 addirittura subito dopo il voto), governi appesi al mal di pancia di micropartiti personali e di forze dello zero virgola, perché per conquistare i collegi uninominali o il premio di maggioranza si è sempre imbarcato di tutto, il partito pensionati e il partito degli automobilisti, i repubblicani di destra e quelli di sinistra, centristi, trotzkisti, cuffariani, vegani, terrapiattisti, Mastella e Turigliatto, il Senador Pallaro e Ciampolillo, persino i fascisti di Forza nuova che, anche se qualcuno lo ha rimosso, nel 2006 erano parte della coalizione di centrodestra.  Se esiste un meccanismo che espone al ricatto del primo che si sveglia la mattina è il maggioritario all'italiana: abbiamo un quarto di secolo di prove provate, eppure abbiamo continuato a essere travolti dall'entusiasmo e dalla furia ideologica dei bipolaristi, da leader che ci spiegavano che l'unica cosa che contava era conoscere il nome del vincitore delle elezioni la sera stessa del voto. Come un giro di bingo. Una mano di poker. Incredibilmente, a dispetto dell'evidenza, sono ancora molti i fan dell'astrazione bipolarista, che ancora sperano di trasformare l'Italia in una democrazia dell'alternanza non con la virtù dell'offerta politica bensì con lo Squid Game delle urne, come nella fortunata serie coreana di Netflix ma con meno divertimento per lo spettatore: tracci una linea per terra, di qua un'armata Brancaleone di là un'altra e via alla rissa elettorale e alle sue nefaste conseguenze parlamentari.  Ora pensate al virtuale Squid Game del 2023: da una parte Letta, Bersani, Fratoianni, Conte, Calenda, Renzi e Bonino, dall'altra parte Berlusconi, Salvini, Meloni, Cesa e Brugnaro. Spostate pure qualche pedina nel campo avverso, se ritenete, l'effetto non cambia. Un proporzionale con sbarramento avrebbe l'effetto di sfrondare il campo di almeno metà dei nomi fatti e darebbe ai partiti la possibilità di concordare governi con un capo e una coda. Cioè l'essenza della democrazia parlamentare, o della democrazia punto, quella che in tutti questi anni è stata presentata come inciucio, complotto e golpe dai populisti dell'establishment, quelli che hanno aperto la strada ai populisti dichiarati.  	la repubblica
